"","row","trainAUC","testAUC","spec","sen","best","n.trees","interaction.depth","shrinkage","n.minobsinnode","seed","id","id2","type"
"143",53,0.991142490372272,0.951281125947312,0.987730061349693,0.529411764705882,3912,5000,"3","0.001",4,3,"5000 3 0.001 4","6","RT-PCR"
"144",54,0.997468049192187,0.904905335628227,0.993975903614458,0.214285714285714,4852,5000,"3","0.001",4,4,"5000 3 0.001 4","6","RT-PCR"
"145",55,0.989858793324775,0.932876217971851,0.987730061349693,0.470588235294118,3696,5000,"3","0.001",4,5,"5000 3 0.001 4","6","RT-PCR"
"146",56,0.988896020539153,0.882352941176471,0.98159509202454,0.294117647058824,3514,5000,"3","0.001",4,6,"5000 3 0.001 4","6","RT-PCR"
"147",57,0.991076115485564,0.910493827160494,0.981481481481482,0.333333333333333,3155,5000,"3","0.001",4,7,"5000 3 0.001 4","6","RT-PCR"
"148",58,0.99501312335958,0.933127572016461,0.987654320987654,0.444444444444444,4979,5000,"3","0.001",4,8,"5000 3 0.001 4","6","RT-PCR"
"149",59,0.997180829641563,0.867930696305982,0.987577639751553,0.421052631578947,4994,5000,"3","0.001",4,9,"5000 3 0.001 4","6","RT-PCR"
"150",60,0.987682995495495,0.919436957172806,0.981132075471698,0.285714285714286,2699,5000,"3","0.001",4,10,"5000 3 0.001 4","6","RT-PCR"
"151",61,0.985750962772786,0.95164200649585,0.993865030674847,0.470588235294118,299,5000,"3","0.01",4,1,"5000 3 0.01 4","7","RT-PCR"
"152",62,0.996103896103896,0.87054085155351,0.974683544303797,0.409090909090909,362,5000,"3","0.01",4,2,"5000 3 0.01 4","7","RT-PCR"
"153",63,0.989858793324775,0.943702634428004,0.987730061349693,0.529411764705882,375,5000,"3","0.01",4,3,"5000 3 0.01 4","7","RT-PCR"
"154",64,0.99752833373523,0.893717728055077,0.993975903614458,0.214285714285714,499,5000,"3","0.01",4,4,"5000 3 0.01 4","7","RT-PCR"
"155",65,0.990821566110398,0.927823890292313,0.987730061349693,0.352941176470588,376,5000,"3","0.01",4,5,"5000 3 0.01 4","7","RT-PCR"
"156",66,0.986521181001284,0.89173583543847,0.98159509202454,0.176470588235294,315,5000,"3","0.01",4,6,"5000 3 0.01 4","7","RT-PCR"
"157",67,0.994619422572179,0.90877914951989,0.987654320987654,0.333333333333333,397,5000,"3","0.01",4,7,"5000 3 0.01 4","7","RT-PCR"
"158",68,0.996522309711286,0.936899862825789,0.987654320987654,0.444444444444444,560,5000,"3","0.01",4,8,"5000 3 0.01 4","7","RT-PCR"
"159",69,0.998321922405692,0.868584504740111,0.987577639751553,0.421052631578947,607,5000,"3","0.01",4,9,"5000 3 0.01 4","7","RT-PCR"
"160",70,0.992328265765766,0.916142557651992,0.987421383647799,0.380952380952381,336,5000,"3","0.01",4,10,"5000 3 0.01 4","7","RT-PCR"
"161",71,0.993388960205392,0.944424395525081,0.993865030674847,0.411764705882353,2981,5000,"4","0.001",4,1,"5000 4 0.001 4","8","RT-PCR"
"162",72,0.998484848484849,0.877733026467204,0.981012658227848,0.409090909090909,3614,5000,"4","0.001",4,2,"5000 4 0.001 4","8","RT-PCR"
"163",73,0.995571245186136,0.950198484301696,0.987730061349693,0.529411764705882,3529,5000,"4","0.001",4,3,"5000 4 0.001 4","8","RT-PCR"
"164",74,0.998432601880878,0.900172117039587,0.993975903614458,0.214285714285714,4148,5000,"4","0.001",4,4,"5000 4 0.001 4","8","RT-PCR"
"165",75,0.995250320924262,0.931071815229159,0.987730061349693,0.470588235294118,3477,5000,"4","0.001",4,5,"5000 4 0.001 4","8","RT-PCR"
"166",76,0.992297817715019,0.88704438830747,0.98159509202454,0.235294117647059,3092,5000,"4","0.001",4,6,"5000 4 0.001 4","8","RT-PCR"
"167",77,0.994816272965879,0.905349794238683,0.987654320987654,0.388888888888889,3033,5000,"4","0.001",4,7,"5000 4 0.001 4","8","RT-PCR"
"168",78,0.996981627296588,0.931412894375857,0.987654320987654,0.388888888888889,4260,5000,"4","0.001",4,8,"5000 4 0.001 4","8","RT-PCR"
"169",79,0.998389045509464,0.873814972213142,0.987577639751553,0.421052631578947,4461,5000,"4","0.001",4,9,"5000 4 0.001 4","8","RT-PCR"
"170",80,0.990498310810811,0.914645103324349,0.987421383647799,0.238095238095238,2224,5000,"4","0.001",4,10,"5000 4 0.001 4","8","RT-PCR"
"171",81,0.993132220795892,0.941898231685312,0.993865030674847,0.470588235294118,271,5000,"4","0.01",4,1,"5000 4 0.01 4","9","RT-PCR"
"172",82,0.998268398268398,0.870828538550058,0.974683544303797,0.454545454545455,370,5000,"4","0.01",4,2,"5000 4 0.01 4","9","RT-PCR"
"173",83,0.995507060333761,0.947311439913389,0.987730061349693,0.529411764705882,374,5000,"4","0.01",4,3,"5000 4 0.01 4","9","RT-PCR"
"174",84,0.998070894622619,0.900602409638554,0.993975903614458,0.214285714285714,392,5000,"4","0.01",4,4,"5000 4 0.01 4","9","RT-PCR"
"175",85,0.993132220795892,0.924575965355467,0.987730061349693,0.352941176470588,311,5000,"4","0.01",4,5,"5000 4 0.01 4","9","RT-PCR"
"176",86,0.990885750962773,0.890292313244316,0.98159509202454,0.294117647058824,284,5000,"4","0.01",4,6,"5000 4 0.01 4","9","RT-PCR"
"177",87,0.99488188976378,0.907064471879287,0.993827160493827,0.333333333333333,298,5000,"4","0.01",4,7,"5000 4 0.01 4","9","RT-PCR"
"178",88,0.996522309711286,0.930727023319616,0.987654320987654,0.388888888888889,422,5000,"4","0.01",4,8,"5000 4 0.01 4","9","RT-PCR"
"179",89,0.998724661028326,0.87446878064727,0.987577639751553,0.421052631578947,468,5000,"4","0.01",4,9,"5000 4 0.01 4","9","RT-PCR"
"180",90,0.988738738738739,0.921233902365978,0.993710691823899,0.238095238095238,188,5000,"4","0.01",4,10,"5000 4 0.01 4","9","RT-PCR"
